,sentence
0,"On balance, stock prices finished the period up almost 5 percent while corporate risk spreads narrowed, reversing a portion of the changes in these variables since the September FOMC meeting."
1,"In other markets, repurchase agreement (repo) rates spiked at year-end, reportedly reflecting strong demands for financing from dealers associated with large Treasury auction net settlements on that day combined with a cutback in the supply of financing available from banks and others managing the size of their balance sheets over year-end for reporting purposes."
2,"However, some other investors reportedly held firmly to the belief that the runoff of the Federal Reserve's securities holdings was a factor putting significant downward pressure on risky asset prices, and the investment decisions of these investors, particularly in thin market conditions around the year-end, might have had an outsized effect on market prices for a time."
3,Long-Run Monetary Policy Implementation Frameworks Committee participants resumed their discussion from the December 2018 meeting of the appropriate long-run framework for monetary policy implementation.
4,"The staff noted that the Committee had previously indicated that, in the longer run, it intends to operate with no more securities holdings than necessary to implement monetary policy efficiently and effectively."
5,"In considering the effectiveness of the operating regime, the staff observed that over recent years, the Federal Reserve had been able to implement monetary policy in an environment with ample reserves by adjusting administered rates--including the rates on required and excess reserve balances and the offered rate at the overnight reverse repurchase agreement facility--without needing to actively manage the supply of reserves."
6,The staff briefing also included a discussion of factors relevant in judging the level of reserves that would support the efficient implementation of monetary policy.
7,The staff suggested that maintaining a buffer of reserves above the minimum quantity that corresponds to the flat portion of the reserve demand curve could reduce the size and frequency of open market operations needed to maintain good control of the policy rate.
8,"Against this backdrop, the staff presented options for substantially slowing the decline in reserves by ending the reduction in asset holdings at some point over the latter half of this year and thereafter holding the size of the SOMA portfolio roughly constant for a time so that the average level of reserves would fall at a very gradual pace reflecting the trend growth in other Federal Reserve liabilities."
9,"In particular, the level and variability of reserve demand and supply were likely to be much larger than in the period before the crisis, and stabilizing the policy rate in this environment would require large and frequent open market operations."
10,"Participants observed that, although the target range for the federal funds rate was the Committee's primary means of adjusting the stance of policy, the balance sheet normalization process should proceed in a way that supports the achievement of the Federal Reserve's dual-mandate goals of maximum employment and stable prices."
11,"A substantial majority expected that when asset redemptions ended, the level of reserves would likely be somewhat larger than necessary for efficient and effective implementation of monetary policy; if so, many suggested that some further very gradual decline in the average level of reserves, reflecting the trend growth of other liabilities such as Federal Reserve notes in circulation, could be appropriate."
12,"In these participants' view, this process would allow the Federal Reserve to arrive slowly at an efficient level of reserves while maintaining good control of short-term interest rates without needing to engage in more frequent open market operations."
13,"A few participants judged that there would be little benefit to allowing reserves to continue to fall after the end of redemptions or that this approach could have costs, such as an undue risk of volatility in short-term interest rates, that would exceed its benefits."
14,"These participants thought that upon ending asset redemptions, the Federal Reserve should begin adding to its assets to offset growth in nonreserve liabilities, so as to keep the average level of reserves relatively stable."
15,"Some thought that continuing to reinvest agency MBS principal payments in excess of $20 billion per month in agency MBS, as under the current balance sheet normalization plan, would simplify communications or provide a helpful backstop against scenarios in which large declines in long-term interest rates caused agency MBS prepayment speeds to increase sharply."
16,"Following the discussion, the Chairman proposed that the Committee communicate its intentions regarding monetary policy implementation and its willingness to adjust the details of its balance sheet normalization program by publishing a statement at the conclusion of the meeting."
17,"STATEMENT REGARDING MONETARY POLICY IMPLEMENTATION AND BALANCE SHEET NORMALIZATION (Adopted January 30, 2019) After extensive deliberations and thorough review of experience to date, the Committee judges that it is appropriate at this time to provide additional information regarding its plans to implement monetary policy over the longer run."
18,"5 Accordingly, all participants agreed to the following: The Committee intends to continue to implement monetary policy in a regime in which an ample supply of reserves ensures that control over the level of the federal funds rate and other short-term interest rates is exercised primarily through the setting of the Federal Reserve's administered rates, and in which active management of the supply of reserves is not required."
19,The Committee continues to view changes in the target range for the federal funds rate as its primary means of adjusting the stance of monetary policy.
20,"Moreover, the Committee would be prepared to use its full range of tools, including altering the size and composition of its balance sheet, if future economic conditions were to warrant a more accommodative monetary policy than can be achieved solely by reducing the federal funds rate."
21,"Staff Review of the Economic Situation The information available for the January 29-30 meeting indicated that labor market conditions continued to strengthen and that growth in real gross domestic product (GDP) was solid in the fourth quarter of last year, although the availability of data was more limited than usual because of the partial federal government shutdown that extended from December 22 to January 25."
22,"Consumer price inflation, as measured by the 12‑month percentage change in the price index for personal consumption expenditures (PCE), was a bit below 2 percent in November, held down in part by recent declines in consumer energy prices."
23,Survey-based measures of longer-run inflation expectations were little changed.
24,Total nonfarm payroll employment expanded strongly in December.
25,The national unemployment rate edged up but was still at a low level of 3.
26,"9 percent, while the labor force participation rate also increased somewhat; as a result, the employment-to-population ratio remained steady in December."
27,"The unemployment rates for African Americans, Asians, and Hispanics in December were below their levels at the end of the previous economic expansion, although persistent differentials in unemployment rates across groups remained."
28,The rates of private-sector job openings and quits edged down in November but were still at high levels; initial claims for unemployment insurance benefits through the middle of January were near historically low levels.
29,"Output gains were strong in the manufacturing and mining sectors, while the output of utilities declined, with warmer-than-usual temperatures lowering the demand for heating."
30,"Household spending looked to have increased strongly in the fourth quarter, as real PCE growth was strong in October and November."
31,"The release of the retail sales report for December was delayed, but available indicators--such as credit card and debit card transaction data and light motor vehicle sales--suggested that household spending growth remained strong in December."
32,Key factors that influence consumer spending--including ongoing gains in real disposable personal income and still-elevated measures of households' net worth--continued to be supportive of solid real PCE growth in the near term.
33,"Real residential investment appeared to have declined again in the fourth quarter, likely reflecting in part decreases in the affordability of housing arising from both the net increase in mortgage interest rates over the past year and ongoing, though somewhat slower, house price appreciation."
34,"Nominal defense spending in October and November pointed to solid growth in real federal purchases, although spending data for December were delayed."
35,The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter.
36,"Total U. S. consumer prices, as measured by the PCE price index, increased 1."
37,"Core PCE price inflation, which excludes changes in consumer food and energy prices, was 1."
38,The consumer price index (CPI) rose 1.
39,"9 percent over the 12 months ending in December, while core CPI inflation was 2."
40,Recent readings on survey-based measures of longer-run inflation expectations--including those from the Michigan survey and the Desk's Survey of Primary Dealers and Survey of Market Participants--were little changed.
41,Recent data suggested that foreign economic growth was subdued in the fourth quarter relative to earlier in the year.
42,"In the advanced foreign economies (AFEs), especially the euro area, indicators of economic activity weakened further, though they remained consistent with positive economic growth."
43,"In the emerging market economies (EMEs), growth in Mexico and Brazil appeared to have slowed to a modest pace in the fourth quarter after a temporary pickup in the third quarter."
44,"Foreign inflation fell in the fourth quarter, largely reflecting lower oil prices."
45,The 5-year and 5-to-10-year-forward inflation compensation measures based on Treasury Inflation-Protected Securities (TIPS) edged down a bit over the period; both measures were down significantly from levels prevailing in the fall of last year.
46,"On balance, foreign equity prices moved up moderately and sovereign credit spreads in EMEs narrowed."
47,CRE loan growth at banks continued to expand at a pace comparable with that seen over the course of 2018.
48,"Banks in the January SLOOS reported that demand was unchanged, on net, in the fourth quarter for nonfarm nonresidential loans, the largest CRE loan category, while demand was reportedly weaker for multifamily loans and construction loans."
49,"In consumer credit markets, financing conditions tightened a bit but, on balance, remained generally supportive of growth in household spending."
50,"Staff Economic Outlook The U. S. economic forecast prepared by the staff for the January FOMC meeting was revised down a little, on balance, primarily reflecting somewhat lower projected paths for domestic equity prices and foreign economic growth."
51,"The staff estimated that U. S. real GDP growth was solid in the fourth quarter of last year, bolstered by consumer spending and business investment, and that the effects of the partial federal government shutdown were quite small in that quarter."
52,"Real GDP growth was expected to slow but remain solid in the first half of this year, with the effects of the partial federal government shutdown modestly restraining GDP growth in the first quarter and those effects being reversed in the second quarter."
